Credit_Score,Idade,Tempo_Credito,Balanco,Qtd_Produtos,Possui_Cartao,Membro_Ativo,Salario_Anual,Genero_encoded,Pais_GERMANY,Pais_SPAIN
711,35.0,10,0.0,2,1.0,0.0,5331178.0,1,0,0
619,33.0,7,0.0,2,0.0,1.0,1011687.0,1,0,0
841,54.0,4,102721.49,1,1.0,1.0,1011687.0,1,1,0
679,48.0,6,125161.24,1,1.0,0.0,579659.0,1,0,0
656,42.0,6,0.0,3,0.0,0.0,14233155.0,0,0,0
410,35.0,6,117183.74,1,1.0,0.0,10973373.0,0,0,0
710,33.0,3,0.0,2,0.0,0.0,1011687.0,1,0,1
684,31.0,7,0.0,2,1.0,0.0,1011687.0,1,0,0
608,35.0,8,0.0,1,0.0,0.0,17583603.0,1,0,0
616,61.0,10,0.0,2,1.0,1.0,17497164.0,1,0,0
699,28.0,1,0.0,2,1.0,1.0,1011687.0,0,0,1
725,37.0,5,0.0,2,1.0,1.0,17482504.0,0,0,0
696,31.0,9,0.0,2,1.0,0.0,1011687.0,1,0,0
515,50.0,7,120961.5,3,1.0,1.0,1011687.0,1,1,0
499,54.0,8,130463.55,1,1.0,1.0,1011687.0,0,1,0
735,44.0,8,0.0,2,0.0,1.0,11495722.0,1,0,0
714,24.0,2,0.0,2,0.0,0.0,1011687.0,1,0,0
727,40.0,10,0.0,2,1.0,1.0,8451017.0,1,0,0
686,39.0,8,0.0,2,1.0,0.0,15502393.0,1,0,0
554,44.0,3,0.0,2,1.0,0.0,17677946.0,0,0,0
611,40.0,6,102373.56,1,1.0,0.0,1011687.0,1,1,0
814,26.0,2,0.0,2,1.0,0.0,1011687.0,1,0,0
705,40.0,7,131778.08,1,1.0,0.0,1011687.0,1,1,0
682,33.0,8,152143.89,1,1.0,0.0,1011687.0,1,1,0
589,32.0,3,86546.86,2,1.0,1.0,1011687.0,1,1,0
584,40.0,2,134171.8,4,1.0,0.0,1011687.0,0,1,0
525,23.0,3,0.0,1,1.0,0.0,1011687.0,1,0,0
567,40.0,7,0.0,2,1.0,0.0,1011687.0,1,0,1
695,31.0,4,97554.03,1,1.0,1.0,1011687.0,1,0,1
566,22.0,7,144954.75,2,1.0,1.0,1011687.0,1,1,0
641,36.0,0,0.0,2,1.0,0.0,7485436.0,1,0,0
667,41.0,7,113672.18,1,0.0,1.0,17131.0,1,0,0
611,56.0,5,123907.85,1,1.0,0.0,816032.0,0,0,0
714,31.0,3,0.0,1,1.0,0.0,1011687.0,1,0,0
850,32.0,0,105969.42,1,0.0,1.0,1011687.0,1,0,0
575,28.0,7,0.0,2,1.0,1.0,1011687.0,1,0,1
663,33.0,5,0.0,2,1.0,0.0,1011687.0,1,0,0
588,25.0,5,137843.8,1,1.0,0.0,1011687.0,1,0,0
549,38.0,1,0.0,2,0.0,1.0,14803516.0,1,0,0
805,40.0,3,0.0,1,1.0,1.0,14385966.0,0,0,0
738,49.0,1,134956.02,1,1.0,0.0,18202595.0,1,0,0
611,22.0,8,137852.96,1,0.0,1.0,1011687.0,1,0,1
772,33.0,5,147531.82,1,1.0,1.0,1011687.0,1,0,0
748,55.0,6,134919.03,1,0.0,1.0,17137877.0,1,0,0
683,34.0,6,0.0,2,1.0,0.0,1011687.0,1,0,0
704,36.0,9,0.0,2,1.0,0.0,513808.0,1,0,0
705,37.0,7,143054.83,2,1.0,1.0,10143376.0,1,0,0
708,39.0,1,0.0,2,1.0,0.0,17569616.0,0,0,0
705,40.0,7,0.0,2,1.0,0.0,4680762.0,0,0,0
725,39.0,4,175111.11,1,0.0,1.0,748583.0,1,0,0
562,49.0,7,141605.85,1,1.0,0.0,16647695.0,1,0,0
