placa,data,km
ACU9V94,2024-01-18,64426.0
ACU9V94,2024-02-07,68929.1
ACU9V94,2024-02-08,68932.8
ACU9V94,2024-02-10,69189.2
ACU9V94,2024-02-15,70246.4
ACU9V94,2024-02-17,70501.6
ACU9V94,2024-02-19,70978.3
ACU9V94,2024-02-22,71845.0
ACU9V94,2024-02-28,73007.6
ACU9V94,2024-03-04,74374.2
ACU9V94,2024-03-08,75525.6
ACU9V94,2024-03-11,75974.8
ACU9V94,2024-03-23,78590.9
ACU9V94,2024-03-25,79176.7
ACU9V94,2024-03-29,80231.7
ACU9V94,2024-04-29,87621.7
ACU9V94,2024-05-19,92038.9
ACU9V94,2024-05-22,92894.3
ACU9V94,2024-05-25,93711.9
ACU9V94,2024-05-28,94521.8
ACU9V94,2024-06-03,95838.7
ACU9V94,2024-06-07,97000.4
ACU9V94,2024-06-18,99724.5
ACU9V94,2024-06-27,101989.1
ACU9V94,2024-07-07,104695.4
ACU9V94,2024-07-08,105011.1
ACU9V94,2024-07-09,105297.0
ACU9V94,2024-07-11,105568.5
ACU9V94,2024-07-14,106403.3
ACU9V94,2024-07-19,107272.7
ACU9V94,2024-07-20,107529.8
ACU9V94,2024-07-31,109961.7
ACU9V94,2024-08-04,110795.0
ACU9V94,2024-08-06,111374.3
ACU9V94,2024-08-18,114503.4
ACU9V94,2024-08-22,115674.1
ACU9V94,2024-08-25,116557.0
ACU9V94,2024-09-01,117931.6
ACU9V94,2024-09-10,119824.3
ACU9V94,2024-09-16,120977.5
ACU9V94,2024-10-04,125150.3
ACU9V94,2024-10-26,130852.6
ACU9V94,2024-10-27,131160.9
ACU9V94,2024-11-10,134337.4
ACU9V94,2024-11-12,134591.3
ACU9V94,2024-11-13,134835.8
ACU9V94,2024-11-23,137506.2
ACU9V94,2024-12-05,139862.5
ACU9V94,2024-12-07,140449.0
ACU9V94,2024-12-08,140728.6
ACU9V94,2024-12-16,142335.5
ACU9V94,2024-12-18,142838.6
ACU9V94,2024-12-30,145660.4
ACU9V94,2025-01-09,148329.0
ACU9V94,2025-01-15,149941.7
ACU9V94,2025-01-29,153045.4
ACU9V94,2025-02-08,155699.2
ACU9V94,2025-02-15,157280.6
ACU9V94,2025-02-18,158151.2
ACU9V94,2025-02-19,158486.2
ACU9V94,2025-03-12,163098.8
ACU9V94,2025-03-13,163361.2
ACU9V94,2025-03-25,166207.7
ACU9V94,2025-03-26,166437.6
ACU9V94,2025-03-30,167537.0
ACU9V94,2025-04-06,169156.1
ACU9V94,2025-04-26,174134.8
ACU9V94,2025-05-06,176646.3
ACU9V94,2025-05-24,180682.2
ACU9V94,2025-05-28,181770.1
ACU9V94,2025-05-29,182048.9
ACU9V94,2025-05-31,182583.7
ACU9V94,2025-06-02,183086.1
ACU9V94,2025-06-03,183295.0
ACU9V94,2025-06-22,187670.7
ACU9V94,2025-07-02,190095.4
ACU9V94,2025-07-07,191162.7
ACU9V94,2025-07-13,192558.3
ACU9V94,2025-07-16,193279.8
ACU9V94,2025-07-19,194049.8
ACU9V94,2025-07-30,196604.9
ACU9V94,2025-08-01,197086.6
ACU9V94,2025-08-22,202496.8
ACU9V94,2025-08-30,204364.6
ACU9V94,2025-09-24,209663.0
ACU9V94,2025-09-25,209900.2
ACU9V94,2025-09-27,210447.4
ACU9V94,2025-10-12,213722.7
ACU9V94,2025-10-18,215271.0
ACU9V94,2025-10-26,216984.6
ACU9V94,2025-11-02,218418.9
ACU9V94,2025-11-10,220350.1
ACU9V94,2025-11-19,222853.1
ACU9V94,2025-12-01,225364.5
ACU9V94,2025-12-10,227632.2
ACU9V94,2025-12-11,227933.0
ACU9V94,2026-01-03,233251.8
ACU9V94,2026-01-11,235124.9
ACU9V94,2026-01-18,236951.4
ACU9V94,2026-01-24,238649.9
ACU9V94,2026-01-28,239693.3
ACU9V94,2026-02-07,242141.2
